Exp,preImp,recImp,preInh,recInh
1,0.817073170731707,0.53479381443299,0.173024523160763,0.130971993410214
2,0.233480176211454,0.0763231197771588,0.126270523846755,0.154686601495112
3,0.0287234042553192,0.036624203821656,0.326603325415677,0.26344505066251
4,0.532125205930807,0.342372881355932,0.261557948068398,0.275402943237561
5,0.725358045492839,0.651525423728814,0.357212953876349,0.309453471196455
6,0.6,0.497904052165813,0.448478900883219,0.509529860228717
7,0.187927107061503,0.251652262328419,0.232673267326733,0.0621230398069964
8,0.816878980891719,0.626455519329296,0.212159594680177,0.274530271398747
9,0.703050847457627,0.596303501945525,0.327739905610907,0.399844115354638
10,0.677510608203677,0.39931906614786,0.1800878477306,0.123338257016248
11,0.64968152866242,0.570815450643777,0.139556377079482,0.139556377079482
12,0.646276595744681,0.631926792069141,0.379117028731605,0.411037891268534
13,NaN,NaN,NaN,NaN
14,0.261324041811847,0.104843654199877,0.145760336370007,0.149926144756278
15,0.562857142857143,0.464980544747082,0.71294363256785,0.618082618862042
