Exp,app,sur,lv,time
1,0,1,-1507.94924168553,274262.218284
2,1,0,-52.4735744232298,4779.658578
3,1,1,-969.469280308403,157693.595983
4,0,1,-765.198958425419,147392.242705
5,1,0,-93.2238388346667,4765.231937
6,1,1,-1334.90607723325,155766.588377
7,0,1,-391.056357643996,2482.659262
8,1,0,-58.2462146014347,1501.907519
9,1,1,-1066.70548065281,72913.072574
10,0,1,-903.637007430344,501114.267703
11,1,0,-228.873076909967,24180.118537
12,1,1,-1376.61199631438,291018.525585
13,0,1,NaN,NaN
14,1,0,-84.1312054889659,5279.526963
15,1,1,-901.101479903526,124034.1195
