Exp,RepsApp,RrhoApp,RtauApp,EepsApp,ErhoApp,EtauApp,RepsSur,RrhoSur,RtauSur,EepsSur,ErhoSur,EtauSur
1,0.324572605206201,0,0,0.330023659236736,9.76280966973286e-19,9.76280966963752e-19,0,0.661820124656163,0.634883570955043,9.76280966956843e-19,0.641246502166963,0.780099950262046
2,0,0.0967787421095763,0.505184875973332,7.90915628776774e-21,0.634090699580616,0.999997498970368,0.264594348245211,0,0,0.252870796890632,7.90915628773861e-21,7.90915628779127e-21
3,0.88467587136672,0.0315461706464698,0.461974883135354,0.466968259355689,0.703918393597928,0.408468179836845,0.999256621826034,0.955399123779544,0.642792522545475,0.548420909042804,0.999998392499,0.614804347694836
4,0.893886052340532,0,0,0.901064713953492,1.14953541845498e-19,1.14953541843031e-19,0,0.250245928738726,0.774186963022136,1.14953541844272e-19,0.244669194488988,0.764955742267887
5,0,0.943503017486908,0.685037725334004,3.02163147226437e-19,0.9999986862293,0.729096025894728,0.203350789074092,0,0,0.196319244270771,3.02163147234622e-19,3.02163147227441e-19
6,0.270828174542277,0.535849642879989,0.960945714878755,0.280356403968332,0.584274162599861,0.747094918827804,0.320951378609145,0.350031351379388,0.40311348540596,0.305428479404831,0.335910576752647,0.289105646915203
7,0.030458127375166,0,0,0.0299066450040522,6.48972603765503e-19,6.48972603771074e-19,0,0.92754292153116,0.824168709821593,6.4897260376684e-19,0.842124643098273,0.511366548702336
8,0,0.980539837266031,0.473075275330389,8.06232620741489e-22,0.999888534158589,0.609165748105375,0.170158012871933,0,0,0.199970876755251,8.06232620739093e-22,8.06232620752916e-22
9,0.120758688395422,0.773216663029119,0.651193509581885,0.158452123989995,0.807847809686294,0.557158943241269,0.549079643370854,0.5428034534354,0.808969661651526,0.608117872692716,0.556907487385473,0.408321194681818
10,0.857281190204583,0,0,0.853378385356576,2.14305692370466e-19,2.14305692371877e-19,0,0.248890843374529,0.859594709469479,2.143056923716e-19,0.244628652499053,0.926940505319177
11,0,0.893862791624484,0.299122842165653,1.0527336493957e-20,0.999837692736345,0.36632540628315,0.362139256103814,0,0,0.380134723119378,1.05273364946124e-20,1.05273364953856e-20
12,0.265482115094216,0.834773245607693,0.418349256648608,0.315215775091636,0.784026674861578,0.503240366130548,0.418507555152603,0.498834732137316,0.410285363079937,0.427186566511085,0.541482294714486,0.382788626669319
13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,0,0.157025526580098,0.659598419159933,1.52447493175949e-19,0.568167446518132,0.953843000558946,0.329208591657358,0,0,0.360360198418823,1.52447493177584e-19,1.52447493178189e-19
15,0.958023618733539,0.547718315949829,0.921117577665827,0.967293730277554,0.146102313639737,0.813573777495102,0.213384255141015,0.728814532028208,0.64405278451155,0.179009457291011,0.632785753597094,0.65590365285378
