Exp,preImp,recImp,preInh,recInh
1,NaN,NaN,NaN,NaN
2,0.511842105263158,0.298660714285714,0.343283582089552,0.00973751058425063
3,0.2,0.0235562310030395,0.396551724137931,0.0105795768169273
4,0.037910699241786,0.0230347349177331,0.24869109947644,0.0910245554614733
5,0.385915492957747,0.139817629179331,0.188524590163934,0.0105795768169273
6,0.64968152866242,0.425178147268409,0.343283582089552,0.0126234906695939
7,0.577981651376147,0.333586626139818,0.201570680628272,0.0707027942421676
8,0.00674432863274065,0.00452302631578947,0.396551724137931,0.0105795768169273
9,0.9140708915145,0.526408450704225,0.389830508474576,0.0105795768169273
10,0.711009174311926,0.388530709195792,0.292079207920792,0.0758521363418147
11,0.443155452436195,0.185855263157895,0.388059701492537,0.0292801952013013
12,0.562857142857143,0.374802652352384,0.388059701492537,0.0356750823271131
13,0.399141630901288,0.296912114014252,0.298597194388778,0.14066250600096
14,0.448588709677419,0.286595394736842,0.308510638297872,0.0300592718035563
15,0.258928571428571,0.0395942408376963,0.364864864864865,0.0336008024072217
