Exp,app,sur,lv,time
1,0,1,NaN,NaN
2,1,0,-49.1959396337204,4170.533018
3,1,1,-954.404639495707,719707.363914
4,0,1,-741.309361509584,1200550.407156
5,1,0,-94.6964278578169,5353.360555
6,1,1,-1266.57138233375,492650.137497
7,0,1,-391.05634813272,1835.817484
8,1,0,-55.0442781448274,5240.851285
9,1,1,-1027.44004860765,271369.72096
10,0,1,-899.975535580164,1576680.547707
11,1,0,-215.659016018744,50712.277259
12,1,1,-1354.43169724233,989685.362959
13,0,1,-689.881030826843,940812.502289
14,1,0,-72.552412557132,3224.352125
15,1,1,-724.868112374634,157204.011587
