Exp,RepsApp,RrhoApp,RtauApp,EepsApp,ErhoApp,EtauApp,RepsSur,RrhoSur,RtauSur,EepsSur,ErhoSur,EtauSur
1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0,0.0967787421095763,0.505184875973332,2.06711308199993e-20,0.999973006939526,0.999959770085809,0.264594348245211,0,0,0.252873384260675,2.0671130819581e-20,2.06711308198762e-20
3,0.88467587136672,0.0315461706464698,0.461974883135354,0.381899378075407,0.631353604198051,0.408372398358002,0.999256621826034,0.955399123779544,0.642792522545475,0.548398608856248,0.937827759731189,0.644803648685386
4,0.893886052340532,0,0,0.901027422225184,5.09448354143664e-20,5.09448354143496e-20,0,0.250245928738726,0.774186963022136,5.09448354141533e-20,0.474539873623572,0.543136836305089
5,0,0.943503017486908,0.685037725334004,1.58143546180532e-18,0.923838945586662,0.999968483388336,0.203350789074092,0,0,0.196318146899389,1.58143546182604e-18,1.5814354618132e-18
6,0.270828174542277,0.535849642879989,0.960945714878755,0.271136507197247,0.639339225129621,0.972966293516228,0.320951378609145,0.350031351379388,0.40311348540596,0.324842914376476,0.362015204505589,0.444404663745959
7,0.030458127375166,0,0,0.0298969080484649,1.06263572870295e-19,1.0626357287034e-19,0,0.92754292153116,0.824168709821593,1.06263572870391e-19,0.996881054953064,0.504541506247097
8,0,0.980539837266031,0.473075275330389,3.65253361153151e-21,0.999999343086383,0.999987276313352,0.170158012871933,0,0,0.200000071516695,3.65253361150152e-21,3.65253361155965e-21
9,0.120758688395422,0.773216663029119,0.651193509581885,0.161405163681274,0.813455029661123,0.712039962752557,0.549079643370854,0.5428034534354,0.808969661651526,0.581446407952807,0.538168815923157,0.572693095023837
10,0.857281190204583,0,0,0.853372454388978,2.09137361710044e-20,2.09137361716821e-20,0,0.248890843374529,0.859594709469479,2.09137361712476e-20,0.393107235579393,0.570295088394568
11,0,0.893862791624484,0.299122842165653,1.47948241731554e-21,0.91480952903184,0.723082922905161,0.362139256103814,0,0,0.380127418909021,1.47948241733228e-21,1.47948241733588e-21
12,0.265482115094216,0.834773245607693,0.418349256648608,0.301440914216424,0.810551598995152,0.559821444823788,0.418507555152603,0.498834732137316,0.410285363079937,0.431235955718354,0.563468122729577,0.443583896387041
13,0.889952417505872,0,0,0.89597778415151,2.7600885850453e-19,2.76008858503397e-19,0,0.834054039374289,0.106845929613679,2.76008858506717e-19,0.752894122949972,0.700974490991825
14,0,0.157025526580098,0.659598419159933,6.36596989210368e-21,0.999996718561963,0.999977858560235,0.329208591657358,0,0,0.36035987302695,6.3659698920986e-21,6.36596989211369e-21
15,0.958023618733539,0.547718315949829,0.921117577665827,0.960209630566005,0.256498940080092,0.926884015134269,0.213384255141015,0.728814532028208,0.64405278451155,0.177974390809977,0.746386601308752,0.646480257720958
