Exp,preImp,recImp,preInh,recInh
1,0.760526315789474,0.53479381443299,0.432835820895523,0.0749588138385503
2,0.28421052631579,0.052924791086351,0.396551724137931,0.0132259919493962
3,0.00926705981465881,0.00875796178343948,0.484293193717277,0.26344505066251
4,0.487323943661972,0.239322033898305,0.385245901639345,0.0939032936229853
5,0.677547770700637,0.625762711864407,0.432835820895523,0.0701624815361891
6,0.677752293577982,0.433628318584071,0.719895287958115,0.509529860228717
7,0.0312691600245248,0.0279613624809354,0.396551724137931,0.0138721351025332
8,0.881847475832438,0.583605030274802,0.406779661016949,0.0553235908141963
9,0.777522935779816,0.50875486381323,0.648514851485149,0.26344505066251
10,0.721577726218097,0.333657587548638,0.477611940298508,0.0967503692762186
11,0.536428571428571,0.497240956468424,0.343283582089552,0.0212569316081331
12,0.619865113427345,0.564819522114896,0.509018036072144,0.327018121911038
13,0.63608870967742,0.463297872340426,0.308510638297872,0.0508317929759704
14,0.178571428571429,0.0312691600245248,0.310810810810811,0.01698670605613
15,0.688506981740064,0.464980544747082,0.871121718377088,0.50896336710834
