Exp,app,sur,lv,time
1,0,1,-1622.81905857214,268124.532219
2,1,0,-133.940889253186,2854.638418
3,1,1,-1094.24745818768,669138.578091
4,0,1,-863.108135487406,543211.908075
5,1,0,-218.361064262116,2370.281908
6,1,1,-1447.97693392741,326267.935041
7,0,1,-470.071222669896,1017.51223
8,1,0,-159.967426199804,1930.497524
9,1,1,-1200.79730170637,147225.866048
10,0,1,-991.686797715644,671830.051965
11,1,0,-334.228125934264,4044.34692
12,1,1,-1540.97664686719,266529.056939
13,0,1,-806.551652315085,483384.540902
14,1,0,-147.736277099509,1019.489723
15,1,1,-901.71958658329,128173.34908
