Exp,RepsApp,RrhoApp,RtauApp,EepsApp,ErhoApp,EtauApp,RepsSur,RrhoSur,RtauSur,EepsSur,ErhoSur,EtauSur,RA1,EA1,RB1,EB1,RB2,EB2
1,0.324572605206201,0,0,0.330023784570539,8.2935169546318e-18,8.29351695464445e-18,0,0.661820124656163,0.634883570955043,8.29351695478015e-18,0.52227963643071,0.771478378238853,0.8,0.815457009973444,0.3,0.1,0.2,0.1
2,0,0.0967787421095763,0.505184875973332,6.56127015041722e-22,0.599986191252252,0.658786535755892,0.264594348245211,0,0,0.252873037057118,6.56127015054798e-22,6.56127015050598e-22,0.8,0.99999987013058,0.3,0.1,0.2,0.1
3,0.88467587136672,0.0315461706464698,0.461974883135354,0.287850980982349,0.619462377514055,0.432260181194338,0.999256621826034,0.955399123779544,0.642792522545475,0.129427359011765,0.975369495943335,0.66015060210733,0.8,0.999999846854827,0.3,0.0816326530612245,0.2,0.0421940928270042
4,0.893886052340532,0,0,0.901038096687662,4.75813640051258e-18,4.75813640045411e-18,0,0.250245928738726,0.774186963022136,4.75813640041568e-18,0.325786851816654,0.766072879061698,0.8,0.999999798837219,0.3,0.1,0.2,0.0301724137931034
5,0,0.943503017486908,0.685037725334004,9.72079856328662e-20,0.824462990107123,0.999966686231609,0.203350789074092,0,0,0.196318940887551,9.72079856313346e-20,9.72079857456568e-20,0.8,0.665221561631574,0.3,0.1,0.2,0.00956937799043062
6,0.270828174542277,0.535849642879989,0.960945714878755,0.265516233422767,0.667583395930949,0.980291816848214,0.320951378609145,0.350031351379388,0.40311348540596,0.321847773604716,0.40739505303327,0.517641907236208,0.8,0.913018184656483,0.3,0.129251700680272,0.2,0.0271493212669683
7,0.030458127375166,0,0,0.0298968999960903,5.4186120628968e-18,5.41861206288854e-18,0,0.92754292153116,0.824168709821593,5.41861206288853e-18,0.995011496213932,0.498409445639097,0.8,0.999999832344006,0.3,0.1,0.2,0.1
8,0,0.980539837266031,0.473075275330389,2.36559667549125e-20,0.960597171591952,0.999978559447893,0.170158012871933,0,0,0.200000165703686,2.3655966755107e-20,2.36559667545567e-20,0.8,0.872522125353041,0.3,0.1,0.2,0.00454545454545455
9,0.120758688395422,0.773216663029119,0.651193509581885,0.123867573723627,0.795510295338923,0.737291020537508,0.549079643370854,0.5428034534354,0.808969661651526,0.530679087395154,0.541756751268626,0.806463229532062,0.8,0.797316771018436,0.3,0.0952380952380952,0.2,0.00917431192660551
10,0.857281190204583,0,0,0.853378456914885,7.94699859055948e-19,7.94699859062035e-19,0,0.248890843374529,0.859594709469479,7.94699859058454e-19,0.315731407275627,0.920855423363152,0.8,0.99999979563858,0.3,0.0136054421768707,0.2,0.00869565217391304
11,0,0.893862791624484,0.299122842165653,2.03653554905837e-21,0.830816080360905,0.999998552178073,0.362139256103814,0,0,0.380137249999877,2.03653554977956e-21,2.03653554936937e-21,0.8,0.728604258757732,0.3,0.0136054421768707,0.2,0.1
12,0.265482115094216,0.834773245607693,0.418349256648608,0.297362889241071,0.821434872637543,0.614622484705087,0.418507555152603,0.498834732137316,0.410285363079937,0.439275388551551,0.537511931491108,0.560304700026833,0.8,0.892506724636218,0.3,0.122448979591837,0.2,0.00909090909090909
13,0.889952417505872,0,0,0.895979041747904,3.87396108249909e-17,3.87396108247815e-17,0,0.834054039374289,0.106845929613679,3.87396108249999e-17,0.746810120519183,0.815640894729398,0.8,0.934086728812101,0.3,0.0408163265306122,0.2,0.0045662100456621
14,0,0.157025526580098,0.659598419159933,2.96447125618914e-21,0.440000435651253,0.495765836670702,0.329208591657358,0,0,0.360360777456357,2.96447125622834e-21,2.96447125612707e-21,0.8,0.999999913124169,0.3,0.1,0.2,0.1
15,0.958023618733539,0.547718315949829,0.921117577665827,0.959130167211393,0.214471648041395,0.93782161588736,0.213384255141015,0.728814532028208,0.64405278451155,0.195722379033226,0.743044259708234,0.647286434378862,0.8,0.834022414274219,0.3,0.129251700680272,0.2,0.0318181818181818
